Symbol,Name,Timeframe,Category,Trades,PnL,PnL %,Win Rate %,Wins,Losses,Period,Updated
SYRMA.NS,SYRMA,15 Minutes,STOCK,1,-44.35,-4.27,0.0,0,1,1mo,2026-05-22 14:46:14
CDSL.NS,CDSL,5 Minutes,STOCK,1,24.0,1.0,100.0,1,0,5d,2026-05-22 14:46:19
JSWSTEEL.NS,JSWSTEEL,5 Minutes,STOCK,1,12.9,1.02,100.0,1,0,5d,2026-05-22 14:51:23
COALINDIA.NS,COALINDIA,5 Minutes,STOCK,1,2.4,0.26,100.0,1,0,5d,2026-05-22 14:51:26
BHARTIARTL.NS,BHARTIARTL,5 Minutes,STOCK,1,5.5,0.14,100.0,1,0,5d,2026-05-22 14:51:29
ADANIGREEN.NS,ADANIGREEN,5 Minutes,STOCK,2,32.0,0.79,100.0,2,0,5d,2026-05-22 14:51:30
ADANIPORTS.NS,ADANIPORTS,5 Minutes,STOCK,1,18.6,1.05,100.0,1,0,5d,2026-05-22 14:51:34
LT.NS,LT,5 Minutes,STOCK,1,40.1,0.51,100.0,1,0,5d,2026-05-22 14:51:35
BSE.NS,BSE,5 Minutes,STOCK,1,-13.1,-0.16,0.0,0,1,5d,2026-05-22 14:51:41
SYRMA.NS,SYRMA,5 Minutes,STOCK,1,3.5,0.36,100.0,1,0,5d,2026-05-22 14:51:43
^NSEI,NIFTY 50,5 Minutes,INDEX,1,151.2,0.32,100.0,1,0,5d,2026-05-22 14:56:01
^NSEBANK,BANK NIFTY,5 Minutes,INDEX,2,1094.05,1.03,100.0,2,0,5d,2026-05-22 14:56:01
^BSESN,SENSEX,5 Minutes,INDEX,1,244.06,0.16,100.0,1,0,5d,2026-05-22 14:56:02
AXISBANK.NS,AXISBANK,5 Minutes,STOCK,2,36.2,1.46,100.0,2,0,5d,2026-05-22 14:56:03
BAJFINANCE.NS,BAJFINANCE,5 Minutes,STOCK,0,0.0,0.0,0.0,0,0,5d,2026-05-22 14:56:04
HDFCBANK.NS,HDFCBANK,5 Minutes,STOCK,2,10.95,0.48,100.0,2,0,5d,2026-05-22 14:56:05
ICICIBANK.NS,ICICIBANK,5 Minutes,STOCK,2,22.9,0.93,50.0,1,1,5d,2026-05-22 14:56:06
KOTAKBANK.NS,KOTAKBANK,5 Minutes,STOCK,2,0.9,0.12,50.0,1,1,5d,2026-05-22 14:56:07
SBIN.NS,SBIN,5 Minutes,STOCK,2,28.2,1.0,100.0,2,0,5d,2026-05-22 14:56:07
MUTHOOTFIN.NS,MUTHOOTFIN,5 Minutes,STOCK,1,48.3,0.74,100.0,1,0,5d,2026-05-22 14:56:08
INDUSINDBK.NS,INDUSINDBK,5 Minutes,STOCK,1,9.75,1.1,100.0,1,0,5d,2026-05-22 14:56:09
PNB.NS,PNB,5 Minutes,STOCK,2,3.34,1.68,100.0,2,0,5d,2026-05-22 14:56:10
BAJAJFINSV.NS,BAJAJFINSV,5 Minutes,STOCK,2,33.6,0.96,100.0,2,0,5d,2026-05-22 14:56:10
INFY.NS,INFY,5 Minutes,STOCK,0,0.0,0.0,0.0,0,0,5d,2026-05-22 14:56:11
WIPRO.NS,WIPRO,5 Minutes,STOCK,1,2.16,1.14,100.0,1,0,5d,2026-05-22 14:56:12
TCS.NS,TCS,5 Minutes,STOCK,1,89.1,1.94,100.0,1,0,5d,2026-05-22 14:56:13
RELIANCE.NS,RELIANCE,5 Minutes,STOCK,1,26.1,1.98,100.0,1,0,5d,2026-05-22 14:56:14
TECHM.NS,TECHM,5 Minutes,STOCK,0,0.0,0.0,0.0,0,0,5d,2026-05-22 14:56:14
